Name,Age,Occupation,City,State,Region,ElimWeek,Season ID,Lead Name,Lead Age,Lead Occupation,Lead City,Lead State,Lead Region,Age Difference,Same Region,target
Amanda Marsh,23.0,Event Planner,Chanute,Kansas,Midwest,,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,9.0,0,1
Trista Rehn,29.0,Miami Heat Dancer,Miami,Florida,South,6.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,3.0,1,0
Shannon Oliver,24.0,Financial Management Consultant,Dallas,Texas,South,5.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,8.0,1,0
Kim,24.0,Nanny,Tempe,Arizona,West,4.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,8.0,0,0
Cathy Grimes,22.0,Graduate Student,Terra Haute,Indiana,Midwest,3.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,10.0,0,0
Christina,28.0,Attorney,Bonita,California,West,3.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,4.0,0,0
LaNease Adams,23.0,Actress,Los Angeles,California,West,3.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,9.0,0,0
Rhonda,28.0,Commercial Real Estate Agent,Woodward,Oklahoma,South,3.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,4.0,1,0
Alexa,27.0,Special Ed. Teacher,Beverly Hills,California,West,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,5.0,0,0
Amy,28.0,Production Coordinator,New York,New York,Northeast,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,4.0,0,0
Angela,25.0,Hooters Waitress,Avondale,Arizona,West,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,7.0,0,0
Angelique,27.0,Actress,Burbank,California,West,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,5.0,0,0
Katie,23.0,Power Tool Sales Rep.,Malden,Massachusetts,Northeast,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,9.0,0,0
Melissa,25.0,Photographer,Tempe,Arizona,West,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,7.0,0,0
Tina,27.0,Graduate Student,Plano,Texas,South,2.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,5.0,1,0
Amber,29.0,Business Development Director,Los Angeles,California,West,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,3.0,0,0
Daniela,30.0,Neuropsychologist,Seattle,Washington,West,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,2.0,0,0
Denise,30.0,Doctor,Honolulu,Hawaii,West,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,2.0,0,0
Jackie,22.0,Bar Manager,Pittsburgh,Pennsylvania,Northeast,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,10.0,0,0
Jill,31.0,Retail Manager,Chicago,Illinois,Midwest,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,1.0,0,0
Kristina,27.0,Advertising Executive,Los Angeles,California,West,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,5.0,0,0
Lisa,29.0,Attorney,Dallas,Texas,South,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,3.0,1,0
Paula,24.0,Insurance Representative,Swansea,Massachusetts,Northeast,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,8.0,0,0
Rachel,29.0,6th Grade Teacher,Eastchester,New York,Northeast,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,3.0,0,0
Wendi,26.0,Technology Specialist,Dallas,Texas,South,1.0,Bachelor 1,Alex Michel,32.0,Management Consultant,Charlottesville,Virginia,South,6.0,1,0
Helene Eksterowicz,27.0,School Psychologist,Gloucester,New Jersey,Northeast,,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,1.0,0,1
Brooke Smith,22.0,College Student,Albertville,Alabama,South,7.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,6.0,0,0
Gwen Gioia,31.0,Executive Recruiter,Philadelphia,Pennsylvania,Northeast,6.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,3.0,0,0
Angela,27.0,Registered Nurse,Kansas City,Missouri,Midwest,5.0,Bachelor 2,Aaron Buerge,28.0,Banker,Butler,Missouri,Midwest,1.0,1,0
